pm2.5,,,,,
2020,,,,,
annual mean,,,,,
ug m-3,,,,,
,,,,,
station,ukgridcode,x,y,streetdata,tubedata
Kings Cross,770581,530500,183500,10.19121,555
Aldgate,771964,533500,181500,10.30822,160
Aldgate East,771964,533500,181500,10.30822,160
Angel,770582,531500,183500,10.41644,539
Baker Street,771268,527500,182500,9.835972,665
Bank,771963,532500,181500,10.13931,484
Barbican,771963,532500,181500,10.13931,606
Battersea Power Station,774720,529500,177500,9.841216,470
Bayswater,772646,525500,180500,9.996225,637
Blackfriars,771962,531500,181500,10.19601,650
Bond Street,771959,528500,181500,10.44558,572
Borough,773343,532500,179500,10.20551,538
Cannon Street,772653,532500,180500,10.14411,545
Chancery Lane,771962,531500,181500,10.19601,548
Charing Cross,772651,530500,180500,10.10051,614
Covent Garden,772651,530500,180500,10.10051,452
Earl's Court,774026,525500,178500,10.18038,639
Edgware Road,771958,527500,181500,10.28317,501
Elephant & Castle,774032,531500,178500,10.41926,565
Embankment,772651,530500,180500,10.10051,502
Euston,771270,529500,182500,10.24846,602
Euston Square,771270,529500,182500,10.24846,400
Farringdon,771962,531500,181500,10.19601,558
Gloucester Road,774027,526500,178500,10.15491,525
Goodge Street,771960,529500,181500,10.28711,635
Great Portland Street,771269,528500,182500,9.972302,626
Green Park,772649,528500,180500,10.05213,470
Hampstead,769197,526500,185500,9.41974,375
High Street Kensington,773336,525500,179500,10.05562,450
Holborn,771961,530500,181500,10.29537,564
Hoxton,770584,533500,183500,10.15588,546
Hyde Park Corner,773339,528500,179500,10.19709,579
Kennington,774032,531500,178500,10.41926,518
Kings Cross,770581,530500,183500,10.19121,555
Knightsbridge,773338,527500,179500,10.07754,592
Lambeth North,773342,531500,179500,10.20987,447
Lancaster Gate,772647,526500,180500,9.753531,505
Leicester Square,772650,529500,180500,10.1117,614
Liverpool Street,771964,533500,181500,10.30822,606
London Bridge,772653,532500,180500,10.14411,626
Mansion House,772653,532500,180500,10.14411,586
Marble Arch,771958,527500,181500,10.28317,470
Marylebone,771268,527500,182500,9.835972,470
Monument,772653,532500,180500,10.14411,525
Moorgate,771963,532500,181500,10.13931,636
Nine Elms,774721,530500,177500,10.32672,483
Notting Hill Gate,772646,525500,180500,9.996225,627
Old Street,771273,532500,182500,10.31987,658
Oxford Circus,771960,529500,181500,10.28711,550
Paddington,771957,526500,181500,10.12333,270
Piccadilly Circus,772650,529500,180500,10.1117,360
Pimlico,774030,529500,178500,10.17055,486
Queensway,772646,525500,180500,9.996225,467
Regent's Park,771269,528500,182500,9.972302,606
Russell Square,771271,530500,182500,10.29699,615
Shoreditch High Street,771274,533500,182500,10.38089,496
Sloane Square,774029,528500,178500,10.13568,565
South Kensington,774027,526500,178500,10.15491,546
Southwark,772652,531500,180500,10.10923,543
St James's Park,773340,529500,179500,9.955573,555
St Paul's,771963,532500,181500,10.13931,565
Temple,772651,530500,180500,10.10051,523
Tottenham Court Road,771960,529500,181500,10.28711,400
Tower Gateway,772654,533500,180500,10.19212,527
Tower Hill,772654,533500,180500,10.19212,446
Vauxhall,774031,530500,178500,10.11981,535
Victoria,773339,528500,179500,10.19709,548
Warren Street,771270,529500,182500,10.24846,479
Waterloo,773341,530500,179500,9.983653,1665
Westminster,773341,530500,179500,9.983653,487
